lp2p,lp3p,pi_conj,en1,en2,en3,en4,en5,m
0,0,0,2.04,7.96,0,0,0,0.32
0,0,0,2.96,0,0,0,0,0.39
0,0,0,2.01,8.88,0,0,0,0.66
0,0,0,1.9,8.88,0,0,0,0.48
0,1,0,3.16,0,0,0,0,0.37
0,0,0,2,3.16,0,0,0,0.33
0,0,1,2.58,16.92,0,0,0,1.2
0,1,0,2.58,3.16,0,0,0,0.44
0,0,0,2.66,6.32,0,0,0,1.1
0,0,1,2.19,13.2,0,0,0,0.78
0,1,0,2.19,6.32,0,0,0,0.54
0,0,1,2.19,11.48,0,0,0,0.7
0,0,0,2.01,6.48,0,0,0,0.71
0,0,0,1.9,6.48,0,0,0,0.48
1,0,0,3.98,0,0,0,0,0.34
0,0,0,2,3.98,0,0,0,0.34
0,1,1,2.58,10.86,0,0,0,0.74
0,0,1,2.58,28.6,0,0,0,0.8
0,0,0,2.66,7.96,0,0,0,0.85
0,0,1,2.19,14.84,0,0,0,0.81
0,1,0,2.19,7.96,0,0,0,0.49
0,0,0,2.01,11.94,0,0,0,0.85
0,1,0,2.58,11.94,0,0,0,0.7
0,0,0,1.9,11.94,0,0,0,0.54
0,0,0,2.66,15.92,0,0,0,1.07
0,0,0,2.19,15.92,0,0,0,0.63
0,0,0,2.58,19.9,0,0,0,0.61
0,0,0,2.66,0,0,0,0,0.35
0,0,1,2.66,6.88,0,0,0,0.58
0,0,1,2.66,10.32,0,0,0,0.68
1,0,1,3.04,6.88,0,0,0,0.62
0,0,1,3.04,10.32,0,0,0,0.71
1,0,0,3.44,3.04,10.32,0,0,0.55
1,0,1,3.04,6.08,6.08,0,0,0.37
0,0,0,2.2,0,0,0,0,0
1,0,0,3.04,5.24,10.32,0,0,0.91
1,0,0,3.44,2.2,0,0,0,0.12
0,1,1,2.58,10.32,2.2,0,0,-0.04
0,1,0,2.58,2.2,0,0,0,0.25
0,0,0,2.04,10.32,6.6,0,0,-0.01
1,0,0,3.04,4.4,0,0,0,-0.16
1,0,0,3.04,5.64,2.2,0,0,-0.04
0,0,1,2.58,16.8,4.4,0,0,0.53
0,0,1,2.19,13.76,4.4,0,0,0.36
0,1,0,2.19,4.4,0,0,0,0.06
0,0,0,2.01,6.6,0,0,0,0
1,0,0,3.04,5.24,4.4,0,0,-0.02
0,0,0,1.9,6.6,0,0,0,0.05
0,0,0,2.55,8.88,0,0,0,0.28
0,0,0,2.55,11.12,0,0,0,0.42
1,0,0,3.04,5.59,15.32,0,0,0.6
0,0,1,2.55,10.04,0,0,0,0.51
1,0,1,3.04,5.1,6.32,0,0,0.21
0,0,0,2.55,9.48,0,0,0,0.4
1,0,0,3.44,2.55,9.48,0,0,0.43
0,0,1,2.55,10.86,0,0,0,0.55
0,0,0,2.55,11.94,0,0,0,0.43
0,0,0,2,2.55,11.94,0,0,0.29
0,0,0,2,2.58,2.55,11.94,0,0.39
0,0,1,2.66,6.08,2.58,16.31,11.94,1.3
1,0,1,3.04,6.08,2.55,11.94,0,0.56
1,0,0,3.44,2.55,11.94,0,0,0.38
0,1,1,2.58,9.43,11.94,0,0,0.63
0,0,1,2.55,9.43,11.94,0,0,0.81
0,0,1,2.58,16.31,11.94,0,0,0.83
0,0,1,2.55,16.31,11.94,0,0,1.08
1,0,0,3.44,2.58,16.31,11.94,0,0.56
0,1,0,2.58,2.55,11.94,0,0,0.4
0,0,0,2.55,2.55,11.94,0,0,0.44
0,0,0,2,2.55,9.12,0,0,0.28
0,0,1,2.55,9.12,0,0,0,0.56
0,0,1,3.04,7.65,0,0,0,0.48
0,0,1,2.55,9.12,2.04,8.88,0,0.61
0,0,1,2.55,9.12,2.04,9.48,0,0.95
0,0,1,2.55,9.12,2.04,11.94,0,0.72
1,0,1,3.04,5.1,6.88,0,0,0.27
1,0,0,3.44,2.55,9.12,0,0,0.67
0,0,1,2.58,16.31,9.12,0,0,1.1
1,0,1,3.04,5.1,5.16,0,0,0.48
0,1,0,2.58,2.55,9.12,0,0,0.51
0,0,0,2.55,2.55,9.12,0,0,0.61
1,0,1,3.04,6.08,2.55,9.12,0,0.71
0,0,1,3.04,9.52,2.55,9.12,0,0.78
0,0,0,2.55,9.12,30.96,0,0,0.72
1,0,0,3.04,5.59,15.2,6.08,6.08,0.54
0,0,0,2.55,8.12,0,0,0,0.31
0,0,0,2.55,8.52,0,0,0,0.31
1,0,0,3.44,2.55,8.52,0,0,0.38
0,0,0,2.55,10.16,0,0,0,0.29
1,0,0,3.44,2.55,10.16,0,0,0.31
0,1,1,2.58,9.43,10.16,0,0,0.54
0,0,1,2.58,16.31,10.16,0,0,0.75
0,1,0,2.58,2.55,10.16,0,0,0.33
0,0,1,2.58,15.51,14.14,0,0,0.72
1,0,0,3.04,4.78,16.31,11.94,0,0.44
0,0,0,2.55,7.52,0,0,0,0.26
1,0,0,3.04,4.75,9.12,0,0,0.21
1,0,0,3.04,5.59,14.36,0,0,0.52
0,0,0,2.55,9.12,8.28,0,0,0.64
1,0,0,3.04,5.59,15.6,2.2,0,0.39
1,0,0,3.04,5.59,14.74,2.2,0,0.45
1,0,0,3.04,4.75,8.66,6.08,0,0.3
0,0,1,2.55,9.08,0,0,0,0.35
0,0,1,2.55,10.32,2.2,0,0,0.37
0,0,0,2.55,7.36,0,0,0,0.12
0,0,0,2.55,7.56,0,0,0,0.11
1,0,0,3.44,2.55,7.56,0,0,0.25
0,0,0,2.55,8.38,0,0,0,0.12
1,0,0,3.44,2.55,8.38,0,0,0.2
0,1,0,2.58,2.55,8.38,0,0,0.23
0,0,0,2.55,7.06,0,0,0,0.1
1,0,0,3.04,4.75,9.08,0,0,0.19
0,0,1,2.55,9.92,4.4,0,0,0.28
0,0,1,2.55,8.2,4.4,0,0,0.25
0,0,1,2.55,8.28,3.44,2.2,0,0.22
0,0,1,3.04,9.52,2.55,9.92,4.4,0.59
1,0,0,3.44,2.55,7.84,2.55,7.65,-0.16
0,0,0,2.55,6.6,0,0,0,-0.07
0,0,0,1.9,8.87,6.6,0,0,0.31
0,0,0,1.9,10.51,6.6,0,0,0.29
0,0,0,2,2.55,6.6,0,0,0.43
1,0,0,3.04,4.75,9.92,4.4,0,-0.03
1,0,0,3.04,5.59,16.92,0,0,0.49
1,0,0,3.04,4.75,8.2,4.4,0,0.22
1,0,0,3.44,2.55,6.6,0,0,0.12
0,0,0,2.55,7.84,2.2,0,0,0
0,1,1,2.58,9.43,6.6,0,0,0.52
0,1,0,2.58,3.44,2.55,6.6,0,0.21
1,0,0,3.44,2.58,9.43,6.6,0,0.44
0,1,1,2.58,10.32,2.55,6.6,0,0.5
0,0,1,2.58,16.31,6.6,0,0,0.6
0,1,0,2.58,2.58,16.31,6.6,0,0.43
1,0,0,3.44,2.58,16.31,6.6,0,0.39
0,1,0,2.58,2.55,6.6,0,0,0.15
0,1,0,2.58,2.58,2.55,6.6,0,0.22
0,0,0,2.55,2.55,6.6,0,0,0.1
1,0,0,3.04,4.75,6.6,0,0,-0.21
0,0,0,2.55,7.44,4.4,0,0,-0.03
1,0,0,3.04,4.78,16.31,6.6,0,0.2
1,0,0,3.04,5.1,21.72,0,0,0.58
0,0,0,2,3.44,2.55,9.43,11.94,0.5
0,0,1,2.55,9.43,11.94,0,0,0.63
0,1,0,2.58,2.55,9.43,11.94,0,0.48
1,0,0,3.44,2.55,9.43,11.94,0,0.56
1,0,0,3.04,5.1,22.8,0,0,0.5
0,0,0,2.55,10.51,11.94,0,0,0.47
1,0,0,3.44,2.55,10.51,11.94,0,0.48
0,0,1,2.58,16.31,10.51,11.94,0,0.92
0,1,0,2.58,2.55,10.51,11.94,0,0.44
1,0,0,3.04,5.1,23.88,0,0,0.4
0,1,1,2.58,8.63,14.52,16.31,11.94,1.18
0,0,1,2.58,15.51,14.52,16.31,11.94,1.23
1,0,0,3.04,5.16,32.62,23.88,0,0.61
0,1,0,2.19,5.1,23.88,0,0,0.6
0,1,0,2.19,5.1,18.24,0,0,0.82
0,0,1,2.55,7.65,2.2,0,0,0.21
1,0,0,3.44,2.55,10.51,9.34,0,0.35
1,0,0,3.04,4.75,9.43,11.94,0,0.3
0,0,1,2.55,8.28,2.58,16.31,11.94,0.76
1,0,0,3.44,2.55,10.51,11.94,0,0.34
0,1,0,2.58,2.55,10.51,11.94,0,0.38
1,0,0,3.04,5.59,14.74,8.66,20.3,0.63
0,1,0,2.58,2.55,7.65,2.2,0,0.26
0,1,0,2.58,2.55,7.3,5.36,0,0.31
0,0,0,2.55,2.55,7.3,5.36,0,0.28
0,0,0,2.55,6.95,11.94,0,0,0.12
0,0,0,2.55,6.98,9.43,11.94,0,0.25
0,0,0,2.55,6.98,16.31,11.94,0,0.29
0,0,0,2.55,6.98,2.55,11.94,0,0.12
0,0,0,2.55,6.95,9.12,0,0,0.16
0,0,1,2.55,7.3,5.24,10.32,0,0.32
0,0,0,2.55,6.98,2.55,9.12,0,0.12
0,0,1,2.55,7.3,4.4,0,0,0.06
1,0,0,3.04,4.75,9.43,7.56,0,0.17
1,0,0,3.04,5.13,22.91,11.94,0,0.46
0,0,0,2,3.44,2.55,9.43,6.6,0.39
0,0,0,2.55,8.63,27.24,0,0,0.54
0,0,0,2.55,8.19,10.39,0,0,0.05
1,0,0,3.44,2.55,7.3,4.4,0,0.21
0,0,1,2.55,9.43,6.6,0,0,0.38
0,1,0,2.58,2.55,9.43,6.6,0,0.39
1,0,0,3.44,2.55,9.43,6.6,0,0.39
0,0,1,2.55,10.32,2.55,6.6,0,0.37
0,0,0,2.55,7.33,9.53,0,0,0.04
0,1,0,2.58,2.55,7.3,4.4,0,0.26
0,0,0,2.55,2.55,7.3,4.4,0,0.26
1,0,0,3.04,5.1,13.9,0,0,-0.07
0,0,0,2.55,7.79,7.79,0,0,-0.06
0,0,0,2.55,8.68,9.03,6.6,0,0.09
1,0,0,3.04,4.75,10.32,2.55,6.6,-0.02
1,0,0,3.04,4.75,9.43,6.6,0,0.21
0,0,1,2.55,9.92,4.75,6.6,0,0.35
0,0,1,2.55,8.28,3.44,2.55,6.6,0.37
0,0,0,2.55,6.95,9.92,4.4,0,0.06
1,0,0,3.04,4.75,7.71,6.6,0,0.24
0,0,1,2.55,8.2,4.75,6.6,0,0.3
0,0,1,2.55,8.28,3.04,4.75,8.2,0.45
0,0,0,2.55,6.95,6.6,0,0,-0.07
0,0,1,2.55,8.28,3.04,4.75,9.92,0.22
1,0,0,3.44,2.55,6.95,6.6,0,0.1
0,0,0,2.55,8.19,8.8,0,0,0.08
0,0,0,2.55,7.84,2.55,6.6,0,0.08
0,0,1,2.58,16.31,6.95,6.6,0,0.66
0,1,0,2.58,2.55,6.95,6.6,0,0.18
0,1,0,2.19,6.2,5.1,13.2,0,0.38
0,0,0,1.9,8.26,13.2,0,0,0.16
0,0,0,1.9,9.08,13.2,0,0,0.12
1,0,0,3.04,4.75,6.95,6.6,0,-0.24
1,0,0,3.04,5.1,13.2,0,0,-0.16
0,0,1,2.58,16.8,5.1,13.2,0,0.51
1,0,0,3.04,5.16,32.62,13.2,0,0.47
0,1,0,2.58,3.04,5.1,13.2,0,0.12
1,0,1,3.04,6.08,3.04,5.1,13.2,-0.05
0,0,1,2.19,11.98,13.2,0,0,0.43
0,0,1,2.19,13.76,5.1,13.2,0,0.42
0,1,0,2.19,5.1,13.2,0,0,0.03
0,0,0,1.9,7.3,13.2,0,0,0.01
0,0,1,2.55,7.65,2.55,11.94,0,0.41
0,0,1,2.55,9.08,6.53,11.94,0,0.39
1,0,1,3.04,5.1,5.1,23.88,0,0.29
0,0,0,2.55,10.51,10.51,11.94,0,0.44
0,0,0,2.55,9.08,23.88,0,0,0.37
0,0,1,2.58,16.31,10.51,10.51,11.94,0.92
0,0,1,2.58,16.31,9.08,23.88,0,0.92
0,1,0,2.58,2.55,10.51,10.51,11.94,0.45
0,1,0,2.58,2.55,9.08,23.88,0,0.48
0,0,0,2.1,2.55,10.51,10.51,11.94,0.46
0,0,0,2.55,8.54,26.08,0,0,0.29
0,0,0,2.55,7.36,5.1,23.88,0,0.44
0,0,0,2.55,7.3,18.24,0,0,0.53
0,0,1,2.55,7.3,4.75,11.94,0,0.16
0,0,1,2.55,7.3,4.75,11.94,0,0.24
0,0,1,2.55,7.3,4.78,16.31,11.94,0.31
0,0,1,2.55,7.3,4.75,9.12,0,0.24
0,0,1,2.55,7.65,2.55,6.6,0,0.21
1,0,0,3.04,5.1,16.03,11.94,0,0.41
0,0,1,2.55,7.3,4.75,9.08,0,0.24
0,0,0,2.55,7.3,8.8,0,0,-0.07
0,0,1,2.55,7.65,11,0,0,0.09
0,0,1,2.55,7.3,4.75,6.6,0,0.02
0,0,0,2.55,6.95,7.3,4.4,0,-0.11
0,0,0,2.55,8.63,27.59,6.6,0,0.56
1,0,0,3.44,2.55,6.95,7.3,4.4,0.09
0,0,1,2.55,9.43,6.95,6.6,0,0.38
0,0,1,2.55,10.32,2.55,6.95,6.6,0.37
0,0,0,2.55,7.84,2.55,9.43,6.6,0.04
0,0,0,2.55,6.95,6.95,10.32,2.2,-0.03
0,1,0,2.58,2.55,6.95,7.3,4.4,0.19
0,0,0,2.55,2.55,6.95,7.3,4.4,0.21
0,0,0,2.55,6.95,6.95,6.95,7.65,-0.26
1,0,0,3.04,5.1,16.03,6.6,0,0.31
0,0,0,2.55,7.44,4.75,9.43,6.6,0.05
1,0,0,3.04,4.75,10.32,2.55,6.95,0.11
0,0,0,2.55,8.14,23.52,0,0,0.18
1,0,0,3.44,2.55,6.95,6.95,7.84,0
0,0,0,2.55,7.3,6.6,0,0,-0.04
0,0,0,2.55,6.95,6.95,6.6,0,-0.06
1,0,0,3.04,4.75,9.92,4.75,6.95,0.04
1,0,0,3.04,4.75,8.2,4.75,6.95,0.3
1,0,0,3.44,2.55,7.3,13.2,0,0.1
1,0,0,3.44,2.55,6.95,6.95,6.6,0.1
0,0,0,2.55,6.95,8.19,8.8,0,-0.12
0,0,0,2.55,8.54,16.64,2.2,0,0.06
0,1,0,2.58,2.55,7.3,13.2,0,0.23
0,0,0,2.55,7.44,5.1,13.2,0,0
0,0,0,2.01,7.65,19.8,0,0,0
0,0,0,1.9,8.54,15.75,6.6,0,0.04
1,0,0,3.44,1.9,7.65,19.8,0,0.13
0,0,0,1.9,9.43,11.7,13.2,0,0.04
0,0,0,1.9,10.32,7.65,19.8,0,0.09
0,0,0,1.9,7.65,19.8,0,0,-0.04
0,0,0,1.96,7.65,19.8,0,0,0
0,0,0,2.66,6.88,5.1,18.86,23.88,1.28
0,0,0,2.55,9.08,18.47,7.96,0,0.48
0,0,1,2.55,9.43,10.51,10.51,11.94,0.63
0,0,0,2.55,7.65,35.82,0,0,0.55
0,0,0,2.55,10.51,10.51,10.51,11.94,0.47
0,0,1,2.58,16.31,7.65,35.82,0,0.96
0,1,0,2.58,2.55,7.65,35.82,0,0.51
0,0,0,2.55,7.74,7.65,35.82,0,0.51
0,0,0,2.55,2.55,7.65,35.82,0,0.49
0,0,0,2.55,7.65,27.36,0,0,0.97
0,0,0,2.55,8.54,20.67,7.96,0,0.36
0,0,1,2.55,7.3,5.1,18.24,0,0.66
0,0,0,2.55,8.14,5.1,13.16,0,0.15
1,0,0,3.04,5.1,18.86,14.6,0,0.33
1,0,0,3.04,5.1,18.86,15.56,0,0.47
0,0,1,2.55,8.63,10.34,9.85,2.2,0.28
0,0,1,2.55,7.3,4.75,7.3,4.75,0.04
0,0,0,2.55,7.65,24.84,0,0,0.6
0,0,1,2.55,8.14,9.85,13.52,0,0.3
0,0,1,2.55,9.12,7.65,12.05,2.2,0.23
0,0,1,2.55,7.65,13.52,7.65,2.2,0.28
0,0,1,2.55,8.54,7.3,12.4,0,0.06
0,0,1,2.55,7.68,7.3,12.4,0,0.09
0,0,1,2.55,7.65,12.08,7.33,0,0.03
0,0,1,2.55,7.65,7.3,12.4,0,0.06
0,0,1,2.55,7.2,7.3,12.4,0,0.06
1,0,0,3.04,5.1,14.6,9.5,0,0.47
1,0,0,3.04,5.1,18.86,14.6,0,0.34
0,0,1,2.55,7.3,4.75,9.43,6.6,0.21
0,0,0,2.66,6.88,5.1,18.86,13.2,0.85
1,0,0,3.04,5.1,18.86,13.2,0,0.35
0,0,0,2.55,7.3,11.35,4.4,0,-0.05
0,0,1,2.55,9.43,7.3,13.2,0,0.38
1,0,0,3.04,4.75,9.43,7.3,13.2,0.11
0,0,0,2.55,7.65,19.8,0,0,-0.1
0,0,0,2.55,7.3,13.55,6.6,0,-0.08
0,0,0,2.55,6.95,7.3,13.2,0,-0.07
0,0,0,2.55,6.95,6.95,6.95,6.6,-0.08
1,0,0,3.44,2.55,6.95,6.95,6.95,0.1
0,0,0,2.55,6.95,8.54,15.4,0,-0.16
0,0,0,2.55,10.32,7.65,19.8,0,-0.03
0,0,0,2.18,7.65,6.95,19.8,0,0.22
0,0,1,2.18,14.53,6.95,19.8,0,0.57
0,0,1,2.18,12.81,6.95,19.8,0,0.52
1,0,0,3.04,4.75,6.95,6.95,6.95,-0.34
1,0,0,3.04,5.1,13.9,13.2,0,-0.23
0,0,1,2.19,11.98,13.9,13.2,0,0.37
1,0,1,3.04,6.08,2.19,13.76,5.1,0.16
0,0,1,2.19,13.76,5.1,13.9,13.2,0.55
0,1,0,2.19,5.1,13.9,13.2,0,0.1
0,0,1,2.19,10.26,13.9,13.2,0,0.39
0,0,0,2.55,7.84,1.9,7.65,19.8,-0.04
0,0,0,2.55,6.3,7.65,19.8,0,-0.16
0,0,1,2.19,12.96,10.2,26.4,0,0.3
0,0,0,2.19,6.08,10.2,26.4,0,0.18
0,0,1,2.55,7.65,14.22,18.24,0,0.77
0,0,1,2.55,8.54,7.3,14.95,9.12,0.25
0,0,1,2.55,8.54,7.3,14.95,9.08,0.22
0,0,1,2.55,8.14,9.85,12.05,12.05,0.33
0,0,1,2.55,7.65,12.54,9.85,13.03,0.23
0,0,1,2.55,7.65,12.05,13.52,7.65,0.27
0,0,1,2.55,9.12,5.1,14.22,20.85,0.25
0,0,1,2.55,7.65,11.7,13.9,13.9,-0.06
0,0,1,2.55,7.3,4.75,10.32,2.55,0.19
0,0,0,2.55,7.3,13.9,13.9,13.9,-0.05
0,0,1,2.55,9.43,7.65,19.8,0,0.27
1,0,0,3.04,4.75,10.32,2.55,6.95,0.06
0,0,0,2.55,7.65,20.15,6.6,0,-0.06
0,0,0,2.55,6.95,7.65,19.8,0,-0.05
0,0,0,2.55,6.95,6.95,6.95,6.95,-0.08
1,0,0,3.44,2.55,6.95,6.95,6.95,0.1
0,0,0,2.55,6.59,13.76,5.1,6.95,0.12
0,0,0,2.55,6.95,6.3,7.65,19.8,-0.16
0,0,0,1.9,8.54,15.1,7.65,19.8,0
0,0,1,2.55,7.65,13.97,13.97,7.32,0.25
0,0,1,2.55,7.65,15.61,15.61,7.96,0.26
0,0,1,2.19,11.98,21.02,21.02,23.88,0.95
1,0,0,3.44,2.19,11.98,21.02,21.02,0.66
1,0,0,3.04,4.39,11.98,21.02,21.02,0.28
0,0,0,2.55,5.95,12.75,51.6,0,-0.14
0,0,1,2.55,7.65,13.73,32.69,6.08,0.26
0,0,1,2.55,7.65,12.05,12.81,4.4,0.09
0,0,1,2.55,7.65,12.05,12.05,5.92,0.15
0,0,1,2.55,7.65,12.05,13.01,4.4,0.15
0,0,1,2.55,7.65,12.05,12.05,6.32,0.15
0,0,1,2.55,7.65,12.05,13.83,4.4,0.15
0,0,1,2.55,7.65,12.05,12.05,7.95,0.12
1,0,0,3.44,2.55,7.65,12.05,12.05,-0.08
0,0,1,2.55,7.65,12.05,12.51,4.4,0.13
0,0,1,2.55,7.65,12.05,12.05,5.32,0.14
0,0,1,2.55,7.65,12.05,12.89,14.72,0.21
0,0,1,2.55,7.65,12.05,12.05,6.08,0.25
0,1,0,2.58,2.55,7.65,12.05,12.05,0.32
0,1,1,2.58,9.43,7.65,12.05,12.05,0.58
1,0,0,3.04,6.08,10.2,5.1,14.6,0.49
0,0,1,2.55,7.65,12.05,12.05,4.4,0.06
0,0,1,3.04,9.52,2.58,16.31,7.65,0.69
1,0,1,3.04,6.08,2.55,7.65,12.05,0.32
1,0,0,3.44,2.55,7.65,12.05,12.05,0.25
0,1,1,2.58,9.43,7.65,12.05,12.05,0.5
0,0,1,2.55,8.54,7.3,14.95,17.62,0.24
0,0,1,2.55,8.54,7.3,17.08,18.65,0.38
0,0,1,2.58,16.31,7.65,12.05,12.05,0.62
1,0,0,3.44,2.58,16.31,7.65,12.05,0.36
0,1,0,2.58,2.55,7.65,12.05,12.05,0.23
1,0,0,3.04,4.75,7.65,12.05,12.05,-0.02
1,0,0,3.04,4.78,16.31,7.65,12.05,0.16
0,0,1,2.58,16.8,4.75,7.65,12.05,0.56
0,0,1,2.55,8.54,7.3,14.95,17.69,0.09
1,0,0,3.04,5.1,15.3,22.7,14.6,0.49
0,0,1,2.55,7.65,11.7,13.9,13.9,-0.1
0,0,0,2.55,7.3,13.9,13.9,13.9,-0.05
1,0,0,3.04,5.1,13.9,13.9,13.2,-0.26
0,0,0,2.55,6.95,6.95,6.95,7.44,-0.08
0,0,1,2.19,11.98,14.6,26.4,0,0.37
0,1,0,2.19,5.1,14.6,26.4,0,0.02
0,0,1,2.19,13.76,5.1,13.9,13.9,0.38
0,0,0,2.01,7.65,20.85,19.8,0,0
0,0,0,1.9,10.32,7.65,20.85,19.8,0.02
0,0,0,1.96,7.65,20.85,19.8,0,0
0,0,1,2.19,11.18,23.6,37.33,35.82,1.24
0,0,0,1.9,9.12,15.3,39.6,0,-0.04
0,0,1,2.55,9.52,5.1,15.3,19.7,0.3
0,0,1,2.55,8.66,5.1,15.3,19.7,0.27
0,0,1,2.55,9.43,7.65,12.05,12.05,0.34
1,0,0,3.44,2.55,9.43,7.65,12.05,0.21
0,0,1,2.55,10.32,2.55,7.65,12.05,0.37
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.08
0,0,1,2.55,8.28,2.55,7.65,12.05,0.35
1,0,0,3.04,4.75,9.43,7.65,12.05,0.02
0,0,1,2.55,9.92,4.75,7.65,12.05,0.23
0,0,1,2.55,7.65,12.05,12.05,2.55,0.06
0,0,0,2.55,6.95,7.65,12.05,12.05,-0.08
1,0,1,3.04,6.08,2.55,7.65,13.29,0.27
0,0,1,2.55,7.65,12.05,12.05,6.88,0.05
0,0,0,2.55,8.19,9.85,12.05,12.05,0
0,0,0,2.55,7.84,2.55,7.65,12.05,0.06
0,0,0,2.55,6.98,16.31,7.65,12.05,0.15
0,0,0,2.55,7.65,20.85,19.8,0,-0.07
0,0,0,2.55,6.95,6.95,6.95,6.95,-0.07
0,0,0,1.9,9.43,10.4,15.3,39.6,-0.02
0,0,0,2.55,10.51,10.51,7.65,12.05,0.34
0,0,1,2.55,7.65,2.55,7.65,12.05,0.14
0,0,1,2.55,8.28,2.55,7.65,12.05,0.39
0,0,1,2.55,7.3,4.75,7.65,12.05,0.03
0,0,1,2.55,8.28,3.04,4.75,9.43,0.39
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.07
1,0,0,3.04,4.75,9.43,7.65,12.05,0.09
0,1,0,2.58,2.55,8.28,2.58,16.31,0.65
0,0,1,2.55,7.65,12.05,12.05,5.1,0.07
0,0,0,2.55,6.95,2.55,7.65,12.05,-0.07
1,0,1,3.04,5.1,5.59,11.35,7.65,0.29
0,0,0,1.9,7.65,20.85,12.05,12.05,0.04
0,1,1,2.58,8.63,9.18,16.31,7.65,0.65
0,0,1,2.19,11.98,15.3,39.6,0,0.31
0,0,1,2.19,11.98,13.9,13.9,13.9,0.35
0,0,1,2.19,13.76,5.1,13.9,13.9,0.41
0,1,0,2.19,5.1,15.3,39.6,0,0.01
0,0,1,2.55,7.3,4.75,9.43,7.65,0.15
0,0,1,2.55,7.3,4.75,9.43,7.65,0.18
0,0,1,2.55,7.65,12.05,12.05,5.1,0.08
0,0,0,1.9,10.32,5.7,22.95,59.4,-0.09
0,0,1,2.55,7.65,12.05,12.05,5.1,0.07
0,0,0,2.55,7.65,20.85,21.9,41.7,-0.12
0,0,0,2.18,5.1,15.3,24.1,24.1,0.03
0,0,1,2.18,11.98,15.3,24.1,24.1,0.54
0,0,0,2.19,7.14,24.78,24.1,24.1,0.67
1,0,0,3.04,5.1,15.3,24.1,24.1,0
0,0,1,2.19,11.98,15.3,24.1,24.1,0.38
0,1,0,2.19,5.1,15.3,24.1,24.1,0.11
0,0,1,2.19,10.26,15.3,24.1,24.1,0.29
0,1,0,2.19,5.59,12.75,25.95,25.95,0.2
0,0,1,2.55,8.54,7.3,17.08,17.85,0.37
0,0,1,2.55,8.54,7.3,17.08,17.5,0.38
0,0,1,2.55,10.32,7.65,22.95,36.99,0.17
0,0,0,2.55,7.3,15.3,24.1,24.1,-0.03
0,0,0,2.18,5.1,15.3,25.78,34.3,0.12
0,0,1,2.19,11.98,15.3,24.1,24.1,0.13
0,0,0,2.55,6.59,11.98,15.3,24.1,0.14
0,0,1,2.19,10.26,15.3,24.1,24.1,0.09
0,0,0,1.9,7.65,21.9,24.1,24.1,0.1
0,0,1,2.55,10.32,2.55,7.3,15.3,0.36
0,0,1,2.19,11.98,15.3,24.1,24.1,0.17
0,0,1,2.19,10.26,15.3,24.1,24.1,0.2
0,0,0,1.81,7.65,22.95,36.15,36.15,0.05
1,0,1,3.04,4.38,7.65,22.95,36.15,-0.33
0,0,0,1.9,7.65,22.95,36.15,36.15,-0.03
0,0,0,2.55,7.65,22.95,36.15,36.15,-0.01
